       113
        The coordinate at time      0.0000
   C     -5.53390233    4.97000000    0.00000000
   C     -5.53390233   -0.71000000    0.00000000
   C     -5.53390233   -3.55000000    0.00000000
   C     -5.53390233   -4.97000000    0.00000000
   C     -4.30414626    1.42000000    0.00000000
   C     -4.30414626    2.84000000    0.00000000
   C     -4.30414626    5.68000000    0.00000000
   C     -4.30414626   -1.42000000    0.00000000
   C     -4.30414626   -2.84000000    0.00000000
   C     -4.30414626   -5.68000000    0.00000000
   H     -4.30414626    6.80000000    0.00000000
   H     -4.30414626   -6.80000000    0.00000000
   C     -3.07439018    0.71000000    0.00000000
   C     -3.07439018    3.55000000    0.00000000
   C     -3.07439018    4.97000000    0.00000000
   C     -3.07439018   -0.71000000    0.00000000
   C     -3.07439018   -3.55000000    0.00000000
   C     -3.07439018   -4.97000000    0.00000000
   C     -1.84463411    1.42000000    0.00000000
   C     -1.84463411    2.84000000    0.00000000
   C     -1.84463411    5.68000000    0.00000000
   C     -1.84463411   -1.42000000    0.00000000
   C     -1.84463411   -2.84000000    0.00000000
   C     -1.84463411   -5.68000000    0.00000000
   H     -1.84463411    6.80000000    0.00000000
   H     -1.84463411   -6.80000000    0.00000000
   C     -0.61487804    0.71000000    0.00000000
   C     -0.61487804    3.55000000    0.00000000
   C     -0.61487804    4.97000000    0.00000000
   C     -0.61487804   -0.71000000    0.00000000
   C     -0.61487804   -3.55000000    0.00000000
   H     -0.61486657   -0.00000000    3.14411607
   C     -0.61487804   -4.97000000    0.00000000
   C      0.61487804    1.42000000    0.00000000
   C      0.61487804    2.84000000    0.00000000
   C      0.61487804    5.68000000    0.00000000
   C      0.61487804   -1.42000000    0.00000000
   C      0.61487804   -2.84000000    0.00000000
